Bee #,Plant #,Collection #,Season
229,102,58,1
229,102,58,1
229,102,58,1
239,102,58,1
239,102,58,1
240,102,58,1
248,102,58,1
248,102,58,1
248,102,58,1
248,102,58,1
249,102,58,1
249,102,58,1
249,102,58,1
249,102,58,1
252,102,58,1
266,102,58,1
282,102,58,1
296,102,58,1
317,110,58,1
350,102,58,1
194,66,59,1
216,102,59,1
216,102,59,1
217,102,59,1
217,102,59,1
217,102,59,1
217,102,59,1
217,102,59,1
229,102,59,1
229,102,59,1
229,102,59,1
229,102,59,1
229,102,59,1
237,102,59,1
237,102,59,1
237,102,59,1
237,102,59,1
249,102,59,1
250,102,59,1
252,66,59,1
287,122,59,1
296,102,59,1
296,102,59,1
296,102,59,1
316,102,59,1
325,169,59,1
364,42,59,1
364,59,59,1
375,122,59,1
378,137,59,1
386,122,59,1
195,102,60,1
195,149,60,1
198,102,60,1
209,85,60,1
216,149,60,1
289,149,60,1
364,65,60,1
364,65,60,1
378,149,60,1
378,149,60,1
217,42,61,1
217,102,61,1
217,102,61,1
217,102,61,1
217,157,61,1
229,102,61,1
229,102,61,1
242,157,61,1
284,157,61,1
303,157,61,1
341,97,61,1
364,42,61,1
364,42,61,1
194,111,62,1
195,111,62,1
195,111,62,1
195,111,62,1
216,66,62,1
216,111,62,1
216,111,62,1
217,66,62,1
217,66,62,1
217,66,62,1
217,102,62,1
217,102,62,1
217,102,62,1
217,102,62,1
217,102,62,1
217,102,62,1
217,111,62,1
217,111,62,1
217,111,62,1
229,102,62,1
229,111,62,1
233,96,62,1
242,96,62,1
242,102,62,1
248,102,62,1
248,102,62,1
249,102,62,1
249,102,62,1
249,102,62,1
303,157,62,1
309,111,62,1
341,96,62,1
341,96,62,1
362,149,62,1
364,42,62,1
377,102,62,1
378,66,62,1
378,157,62,1
378,157,62,1
380,68,62,1
380,68,62,1
385,102,62,1
219,157,63,1
233,157,63,1
242,157,63,1
248,66,63,1
249,66,63,1
250,66,63,1
303,157,63,1
183,157,64,1
191,42,64,1
194,111,64,1
194,111,64,1
196,102,64,1
199,149,64,1
209,111,64,1
209,111,64,1
217,102,64,1
217,102,64,1
217,102,64,1
217,102,64,1
217,102,64,1
217,102,64,1
217,102,64,1
217,122,64,1
233,102,64,1
239,157,64,1
239,157,64,1
242,12,64,1
242,157,64,1
242,157,64,1
248,102,64,1
248,111,64,1
249,102,64,1
303,157,64,1
303,157,64,1
303,157,64,1
303,157,64,1
317,175,64,1
317,175,64,1
317,175,64,1
325,149,64,1
325,149,64,1
325,149,64,1
332,149,64,1
362,149,64,1
364,149,64,1
364,175,64,1
385,102,64,1
199,75,65,1
203,75,65,1
216,102,65,1
216,149,65,1
216,157,65,1
216,157,65,1
217,66,65,1
217,66,65,1
217,84,65,1
217,102,65,1
217,102,65,1
217,149,65,1
217,149,65,1
217,149,65,1
217,149,65,1
217,157,65,1
217,157,65,1
223,75,65,1
223,84,65,1
249,102,65,1
252,66,65,1
288,157,65,1
290,75,65,1
290,75,65,1
306,168,65,1
308,75,65,1
341,96,65,1
341,96,65,1
378,36,65,1
378,36,65,1
385,66,65,1
385,75,65,1
386,66,65,1
386,84,65,1
386,84,65,1
216,53,66,1
217,149,66,1
242,157,66,1
242,157,66,1
242,161,66,1
242,161,66,1
341,12,66,1
341,96,66,1
378,144,66,1
203,122,67,1
224,47,67,1
239,157,67,1
242,157,67,1
263,66,67,1
341,157,67,1
341,157,67,1
356,150,67,1
378,157,67,1
386,73,67,1
217,122,68,1
233,157,68,1
242,157,68,1
303,157,68,1
343,122,68,1
364,108,68,1
364,108,68,1
385,122,68,1
216,149,69,1
217,4,69,1
223,4,69,1
289,109,69,1
325,109,69,1
350,109,69,1
351,109,69,1
351,109,69,1
362,109,69,1
364,73,69,1
378,4,69,1
378,73,69,1
378,73,69,1
378,76,69,1
378,89,69,1
378,89,69,1
379,109,69,1
387,4,69,1
387,4,69,1
387,4,69,1
387,4,69,1
387,4,69,1
325,109,70,1
350,109,70,1
378,37,71,1
378,73,71,1
378,73,71,1
378,73,71,1
186,4,72,1
230,4,72,1
230,4,72,1
233,4,72,1
239,122,72,1
336,4,72,1
337,4,72,1
350,4,72,1
350,4,72,1
377,122,72,1
378,4,72,1
382,4,72,1
382,4,72,1
387,4,72,1
185,140,73,1
216,122,73,1
217,27,73,1
217,122,73,1
289,122,73,1
289,122,73,1
289,122,73,1
289,122,73,1
289,122,73,1
325,122,73,1
362,64,73,1
362,64,73,1
362,64,73,1
362,64,73,1
364,14,73,1
364,27,73,1
364,27,73,1
364,27,73,1
364,27,73,1
209,27,74,1
219,4,74,1
224,4,74,1
225,4,74,1
225,27,74,1
233,4,74,1
233,4,74,1
238,4,74,1
240,4,74,1
243,4,74,1
267,4,74,1
276,27,74,1
334,4,74,1
334,4,74,1
335,4,74,1
335,4,74,1
336,4,74,1
337,4,74,1
337,4,74,1
337,4,74,1
341,4,74,1
344,27,74,1
362,4,74,1
364,4,74,1
364,27,74,1
380,4,74,1
380,4,74,1
380,4,74,1
380,4,74,1
387,4,74,1
192,123,75,1
194,33,75,1
196,153,75,1
199,139,75,1
203,139,75,1
216,50,75,1
216,153,75,1
224,30,75,1
252,123,75,1
340,33,75,1
349,33,75,1
350,139,75,1
350,153,75,1
378,153,75,1
378,153,75,1
378,153,75,1
217,130,113,1
225,172,113,1
225,18,113,1
239,172,113,1
240,172,113,1
278,16,113,1
279,172,113,1
279,172,113,1
279,172,113,1
281,172,113,1
281,130,113,1
296,136,113,1
312,172,113,1
317,172,113,1
326,172,113,1
333,18,113,1
333,172,113,1
348,172,113,1
378,93,113,1
378,130,113,1
386,172,113,1
184,172,114,1
194,172,114,1
207,172,114,1
224,172,114,1
225,162,114,1
252,172,114,1
261,172,114,1
279,172,114,1
281,172,114,1
281,172,114,1
307,172,114,1
310,172,114,1
314,136,114,1
317,172,114,1
