Year,Month,Day,Precipitation (mm),Temp (Max),Temp (Min),Humidity
1996,1,29,0,30.7,15.4,58
1996,1,30,3.6,28.9,14.6,60
1996,1,31,0,30.3,15.4,50
1996,2,1,0,29.5,16.1,75
1996,2,2,36.8,28.5,14.8,72
1996,2,3,0.2,28.1,12.4,90
1996,2,4,68.9,24.6,15.4,86
1996,2,5,0.2,28.1,17.3,75
1996,2,6,0,28,17.6,78
1996,2,7,0.2,29.2,17,75
1996,2,8,0,29.3,16.2,56
1996,2,9,0,29.9,14.8,59
1996,2,10,0,31.4,17.8,45
1996,2,11,0,30.9,13.8,54
1996,2,12,0,30.2,16,63
1996,2,13,0.5,30.2,14,58
1996,2,14,0,29.5,14.9,55
1996,2,15,0,28.9,16.8,55
1996,2,16,0,29,16.4,60
1996,2,17,0,29.5,17.2,71
1996,2,18,0,30.1,15.8,65
1996,2,19,0,30.5,15.5,61
1996,2,20,0,28.6,16.1,67
1996,2,21,39.1,29.4,16,65
1996,2,22,14.4,28.3,16.3,71
1996,2,23,0.7,26.9,17.4,81
1996,2,24,20.8,28.5,17.3,74
1996,2,25,0.4,29,16.8,69
1996,2,26,0,28.6,17.3,78
1996,2,27,0,29.1,18.5,81
1996,2,28,7.8,29.7,14.4,51
1996,2,29,0,30,16.6,55
1996,3,1,0,29.4,16.6,66
1996,3,2,7.2,27.2,16.6,84
1996,3,3,0,28.3,17.1,79
1996,3,4,5.6,27,19.3,85
1996,3,5,10.2,27.4,18.5,83
1996,3,6,94.1,26.6,19.5,96
1996,3,7,10.2,28.6,17,77
1996,3,8,41.1,22.9,16.1,92
1996,3,9,20.2,27,14.9,89
1996,3,10,20.1,28.7,17.8,64
1996,3,11,11.8,23,17,83
1996,3,12,0,25.7,15.9,92
1996,3,13,57.3,26.1,16.9,82
1996,3,14,0,26.2,16,84
1996,3,15,0,28.5,15.5,74
1996,3,16,0,28.9,15.8,69
1996,3,17,10,28.5,16.3,73
1996,3,18,0,28,17.2,73
1996,3,19,0,26.3,18.4,78
1996,3,20,0,29.2,17.6,64
1996,3,21,0,29.7,15.5,59
1996,3,22,0,29.2,15.2,71
1996,3,23,0,28.8,15.6,73
1996,3,24,0,26.9,16.2,84
1996,3,25,15.5,28.2,16.2,87
1996,3,26,1.2,29,15.6,74
1996,3,27,0.2,28.4,16.4,81
1996,3,28,0,29.1,14.4,62
1996,3,29,0,28.5,16.6,68
1996,3,30,0,28.9,16.2,70
1996,3,31,0,29.6,15.4,66
1996,4,1,0,29.5,17.1,79
1996,4,2,0,29.5,16.6,63
1996,4,3,0,28.9,16.8,56
1996,4,4,0,28.8,15.5,61
1996,4,5,0,28.7,17.2,64
1996,4,6,0,29.5,14,64
1996,4,7,0,28.4,14.8,69
1996,4,8,0,30.6,15.1,59
1996,4,9,0,28.6,14.6,71
1996,4,10,1.2,29,14,64
1996,4,11,0,28.8,14.8,67
1996,4,12,7.5,24,17.2,96
1996,4,13,5.8,25.5,16.3,89
1996,4,14,16.9,22.3,16.8,91
1996,4,15,3.5,24.7,17.2,85
1996,4,16,0,26.9,17.2,85
1996,4,17,0.2,27.4,15.2,68
1996,4,18,0,26.6,17.8,87
1996,4,19,4.6,24.5,17,91
1996,4,20,0,22.3,16.5,85
1996,4,21,0,25.3,14.4,77
1996,4,22,0,25.6,12.5,64
1996,4,23,0,26.1,11.4,57
1996,4,24,0,27.6,10.3,52
1996,4,25,0,28.2,10.6,58
1996,4,26,0,28.9,13.3,54
1996,4,27,0,27.9,15.2,60
1996,4,28,0,23.5,14.9,77
1996,4,29,0,25,14.2,75
1996,4,30,0,26.1,13.4,66
1996,5,1,0,26.6,14.1,69
1996,5,2,0,27.8,12.7,60
1996,5,3,0,27.5,13.6,58
1996,5,4,0,27.8,12.6,60
1996,5,5,0,26.9,13.3,63
1996,5,6,0,26.7,14.6,66
1996,5,7,0,27.3,13.9,59
1996,5,8,0,26.8,11.5,55
1996,5,9,0,26.4,11.2,48
1996,5,10,0,27.2,9.7,56
1996,5,11,0,25.2,13.3,71
1996,5,12,0,26,17.6,59
1996,5,13,0,27.7,13.8,63
1996,5,14,0,26.7,14,66
1996,5,15,0,28.1,13.5,63
1996,5,16,0,28.5,14.5,77
1996,5,17,0,28.1,15.8,76
1996,5,18,0,28.5,15.8,81
1996,5,19,0.2,28.3,17,73
1996,5,20,0,27.3,14.2,85
1996,5,21,12,27.5,14.3,71
1996,5,22,1.1,27,16.8,85
1996,5,23,13.2,28.2,15.8,80
1996,5,24,0,27.1,14.8,71
1996,5,25,0,25.2,13.8,76
1996,5,26,0,23.8,11.8,70
1996,5,27,0,25.3,11.4,64
1996,5,28,0,24.1,11.6,61
1996,5,29,0,24.2,9.8,53
1996,5,30,0,25.3,11,67
1996,5,31,0,25.2,12.6,68
1996,6,1,0,26.7,11.6,60
1996,6,2,0,26.1,13,57
1996,6,3,0,24.5,14.1,66
1996,6,4,0,23.6,12.2,65
1996,6,5,0,24.1,14.5,60
1996,6,6,0,26.7,9.2,58
1996,6,7,0,26.2,11.3,64
1996,6,8,0,25.9,13.6,63
1996,6,9,0,26.2,15.2,58
1996,6,10,0,22.8,12.4,75
1996,6,11,0,23.3,10.4,71
1996,6,12,0,23.9,11.5,71
1996,6,13,0,24.1,11.4,72
1996,6,14,0,24.5,10.8,73
1996,6,15,0,25.6,11,64
1996,6,16,0,26.1,9.6,53
1996,6,17,0,26.7,9,43
1996,6,18,0,27.5,7.4,55
1996,6,19,0,27.1,9.8,44
1996,6,20,0,26.3,11,47
1996,6,21,0,26.6,15.5,52
1996,6,22,0,27.6,9.6,54
1996,6,23,0,27.4,10,54
1996,6,24,0,27.7,12.6,53
1996,6,25,0,25.8,11.9,53
1996,6,26,0,27.1,9.6,50
1996,6,27,0,27.4,8.4,45
1996,6,28,0,24.4,12.4,78
1996,6,29,0,24.5,8.4,77
1996,6,30,0,23.5,4.5,69
1996,7,1,0,25.1,10.8,60
1996,7,2,0,24.7,10.8,67
1996,7,3,0,27.9,9.9,56
