System	Season	Month	Day	Year	Bee	Plant
BBG	dry	5	28	1996	293	168
BBG	dry	5	28	1996	298	168
BBG	dry	5	28	1996	298	168
BBG	dry	5	28	1996	298	168
BBG	dry	5	28	1996	298	168
BBG	dry	5	28	1996	298	168
BBG	dry	5	28	1996	298	168
BBG	dry	5	28	1996	304	168
BBG	dry	5	28	1996	317	168
BBG	dry	5	28	1996	320	175
BBG	dry	5	28	1996	322	168
BBG	dry	5	28	1996	325	175
BBG	dry	5	28	1996	326	168
BBG	dry	5	28	1996	326	168
BBG	dry	5	28	1996	326	168
BBG	dry	5	28	1996	326	168
BBG	dry	5	28	1996	326	168
BBG	dry	5	28	1996	333	168
BBG	dry	5	28	1996	341	150
BBG	dry	5	28	1996	344	168
BBG	dry	5	28	1996	350	56
BBG	dry	5	28	1996	359	83
BBG	dry	5	28	1996	362	56
BBG	dry	5	28	1996	362	56
BBG	dry	5	28	1996	362	56
BBG	dry	5	28	1996	364	83
BBG	dry	5	28	1996	364	83
BBG	dry	5	28	1996	364	87
BBG	dry	5	28	1996	364	176
BBG	dry	5	28	1996	378	35
BBG	dry	5	28	1996	378	56
BBG	dry	5	28	1996	378	56
BBG	dry	5	28	1996	378	150
BBG	dry	6	4	1996	203	87
BBG	dry	6	4	1996	216	25
BBG	dry	6	4	1996	226	87
BBG	dry	6	4	1996	228	87
BBG	dry	6	4	1996	228	130
BBG	dry	6	4	1996	248	55
BBG	dry	6	4	1996	263	24
BBG	dry	6	4	1996	268	87
BBG	dry	6	4	1996	289	52
BBG	dry	6	4	1996	289	52
BBG	dry	6	4	1996	291	52
BBG	dry	6	4	1996	291	59
BBG	dry	6	4	1996	291	87
BBG	dry	6	4	1996	293	52
BBG	dry	6	4	1996	328	55
BBG	dry	6	4	1996	333	87
BBG	dry	6	4	1996	333	127
BBG	dry	6	4	1996	341	136
BBG	dry	6	4	1996	341	154
BBG	dry	6	4	1996	341	154
BBG	dry	6	4	1996	341	154
BBG	dry	6	4	1996	350	16
BBG	dry	6	4	1996	350	63
BBG	dry	6	4	1996	350	63
BBG	dry	6	4	1996	350	63
BBG	dry	6	4	1996	350	65
BBG	dry	6	4	1996	350	65
BBG	dry	6	4	1996	350	102
BBG	dry	6	4	1996	351	152
BBG	dry	6	4	1996	362	11
BBG	dry	6	4	1996	362	11
BBG	dry	6	4	1996	362	11
BBG	dry	6	4	1996	364	55
BBG	dry	6	4	1996	364	63
BBG	dry	6	4	1996	376	72
BBG	dry	6	4	1996	378	11
BBG	dry	6	4	1996	378	36
BBG	dry	6	4	1996	378	36
BBG	dry	6	4	1996	378	72
BBG	dry	6	4	1996	378	72
BBG	dry	6	4	1996	378	72
BBG	dry	6	4	1996	378	72
BBG	dry	6	4	1996	378	72
BBG	dry	6	4	1996	378	72
BBG	dry	6	4	1996	378	72
BBG	dry	6	4	1996	378	72
BBG	dry	6	4	1996	378	72
BBG	dry	6	4	1996	378	72
BBG	dry	6	4	1996	378	72
BBG	dry	6	4	1996	378	72
BBG	dry	6	4	1996	378	154
BBG	dry	6	4	1996	386	25
BBG	dry	6	11	1996	216	154
BBG	dry	6	11	1996	289	168
BBG	dry	6	11	1996	298	168
BBG	dry	6	11	1996	305	83
BBG	dry	6	11	1996	325	136
BBG	dry	6	11	1996	350	127
BBG	dry	6	11	1996	364	127
BBG	dry	6	11	1996	378	168
BBG	dry	6	14	1996	216	154
BBG	dry	6	14	1996	281	168
BBG	dry	6	14	1996	298	148
BBG	dry	6	14	1996	321	168
BBG	dry	6	14	1996	326	168
BBG	dry	6	14	1996	326	168
BBG	dry	6	14	1996	326	168
BBG	dry	6	14	1996	364	83
BBG	dry	6	14	1996	364	148
BBG	dry	6	14	1996	364	148
BBG	dry	6	18	1996	216	66
BBG	dry	6	18	1996	216	66
BBG	dry	6	18	1996	216	66
BBG	dry	6	18	1996	216	154
BBG	dry	6	18	1996	217	66
BBG	dry	6	18	1996	217	66
BBG	dry	6	18	1996	217	66
BBG	dry	6	18	1996	217	154
BBG	dry	6	18	1996	248	66
BBG	dry	6	18	1996	263	66
BBG	dry	6	18	1996	291	168
BBG	dry	6	18	1996	298	66
BBG	dry	6	18	1996	298	66
BBG	dry	6	18	1996	325	10
BBG	dry	6	18	1996	325	10
BBG	dry	6	18	1996	325	65
BBG	dry	6	18	1996	333	127
BBG	dry	6	18	1996	350	10
BBG	dry	6	18	1996	350	56
BBG	dry	6	18	1996	350	65
BBG	dry	6	18	1996	350	66
BBG	dry	6	18	1996	350	66
BBG	dry	6	18	1996	350	66
BBG	dry	6	18	1996	351	168
BBG	dry	6	18	1996	357	168
BBG	dry	6	18	1996	361	25
BBG	dry	6	18	1996	362	10
BBG	dry	6	18	1996	362	10
BBG	dry	6	18	1996	362	56
BBG	dry	6	18	1996	364	56
BBG	dry	6	18	1996	378	10
BBG	dry	6	18	1996	378	36
BBG	dry	6	18	1996	378	56
BBG	dry	6	18	1996	378	56
BBG	dry	6	18	1996	378	56
BBG	dry	6	18	1996	378	137
BBG	dry	6	18	1996	378	154
BBG	dry	6	18	1996	378	168
BBG	dry	6	18	1996	380	154
BBG	dry	6	25	1996	217	36
BBG	dry	6	25	1996	217	150
BBG	dry	6	25	1996	217	154
