Season,Month,Collection Day,Year,Bee Nr,Plant Nr
dry,Jul,34,2009,16,143
dry,Jul,34,2009,16,143
dry,Jul,34,2009,16,159
dry,Jul,34,2009,16,159
dry,Jul,34,2009,16,159
dry,Jul,34,2009,16,159
dry,Jul,34,2009,16,159
dry,Jul,34,2009,17,159
dry,Jul,34,2009,17,159
dry,Jul,34,2009,17,165
dry,Jul,34,2009,99,180
dry,Aug,35,2009,16,136
dry,Aug,35,2009,16,136
dry,Aug,35,2009,91,136
dry,Aug,35,2009,91,136
dry,Aug,35,2009,91,136
dry,Aug,35,2009,6,143
dry,Aug,35,2009,6,146
dry,Aug,35,2009,16,159
dry,Aug,35,2009,16,159
dry,Aug,35,2009,16,159
dry,Aug,35,2009,16,159
dry,Aug,35,2009,18,159
dry,Aug,36,2009,25,117
dry,Aug,36,2009,89,117
dry,Aug,36,2009,89,117
dry,Aug,36,2009,104,117
dry,Aug,36,2009,16,136
dry,Aug,36,2009,16,136
dry,Aug,36,2009,16,136
dry,Aug,36,2009,16,136
dry,Aug,36,2009,102,136
dry,Aug,36,2009,102,136
dry,Aug,36,2009,102,136
dry,Aug,36,2009,102,136
dry,Aug,36,2009,102,136
dry,Aug,36,2009,102,136
dry,Aug,36,2009,102,136
dry,Aug,36,2009,102,136
dry,Aug,36,2009,102,136
dry,Aug,36,2009,102,136
dry,Aug,36,2009,102,136
dry,Aug,36,2009,102,136
dry,Aug,36,2009,102,136
dry,Aug,36,2009,102,136
dry,Aug,36,2009,102,136
dry,Aug,36,2009,102,136
dry,Aug,36,2009,6,143
dry,Aug,36,2009,16,149
dry,Aug,36,2009,9,150
dry,Aug,36,2009,16,157
dry,Aug,36,2009,111,157
dry,Aug,36,2009,16,159
dry,Aug,36,2009,18,159
dry,Aug,36,2009,17,200
dry,Aug,37,2009,5,143
dry,Aug,37,2009,16,149
dry,Aug,37,2009,22,169
dry,Aug,37,2009,6,143
dry,Aug,37,2009,6,143
dry,Aug,37,2009,6,143
dry,Aug,37,2009,6,143
dry,Aug,37,2009,6,143
dry,Aug,37,2009,6,143
dry,Aug,37,2009,6,143
dry,Aug,37,2009,6,150
dry,Aug,37,2009,6,150
dry,Aug,37,2009,6,150
dry,Aug,37,2009,6,150
dry,Aug,37,2009,6,150
dry,Aug,37,2009,6,150
dry,Aug,37,2009,16,158
dry,Aug,37,2009,16,158
dry,Aug,37,2009,18,158
dry,Aug,37,2009,16,159
dry,Aug,37,2009,18,159
dry,Aug,37,2009,18,159
dry,Aug,37,2009,6,188
dry,Aug,37,2009,16,199
dry,Aug,37,2009,17,199
dry,Aug,37,2009,16,180
dry,Aug,38,2009,91,127
dry,Aug,38,2009,12,135
dry,Aug,38,2009,16,136
dry,Aug,38,2009,17,136
dry,Aug,38,2009,17,136
dry,Aug,38,2009,17,136
dry,Aug,38,2009,17,136
dry,Aug,38,2009,18,136
dry,Aug,38,2009,6,143
dry,Aug,38,2009,6,143
dry,Aug,38,2009,6,143
dry,Aug,38,2009,6,143
dry,Aug,38,2009,6,143
dry,Aug,38,2009,6,143
dry,Aug,38,2009,6,143
dry,Aug,38,2009,6,143
dry,Aug,38,2009,6,143
dry,Aug,38,2009,6,143
