Month,Collection Day,Year,Bee Nr,Plant Nr
Mar,20,2009,52,164
Mar,20,2009,57,164
Mar,20,2009,36,165
Mar,20,2009,52,168
Mar,20,2009,57,168
Mar,20,2009,57,168
Mar,20,2009,57,168
Mar,20,2009,22,169
Mar,20,2009,2,172
Mar,20,2009,37,172
Mar,20,2009,96,178
Mar,20,2009,96,178
Mar,20,2009,96,178
Mar,20,2009,96,178
Mar,20,2009,96,178
Mar,20,2009,96,178
Mar,20,2009,102,178
Mar,20,2009,17,190
Mar,20,2009,14,203
Mar,21,2009,16,178
Mar,21,2009,52,164
Mar,21,2009,52,164
Mar,21,2009,52,113
Mar,21,2009,74,115
Mar,21,2009,6,119
Mar,21,2009,9,119
Mar,21,2009,56,119
Mar,21,2009,93,119
Mar,21,2009,99,119
Mar,21,2009,102,119
Mar,21,2009,102,119
Mar,21,2009,107,119
Mar,21,2009,17,120
Mar,21,2009,54,121
Mar,21,2009,68,134
Mar,21,2009,91,137
Mar,21,2009,102,148
Mar,21,2009,102,148
Mar,21,2009,102,148
Mar,21,2009,87,155
Mar,21,2009,100,155
Mar,21,2009,101,155
Mar,21,2009,56,165
Mar,21,2009,52,166
Mar,21,2009,52,166
Mar,21,2009,57,168
Mar,21,2009,58,168
Mar,21,2009,88,169
Mar,21,2009,57,175
Mar,21,2009,96,175
Mar,21,2009,56,178
Mar,21,2009,96,178
Mar,21,2009,96,178
Mar,21,2009,96,178
Mar,21,2009,96,178
Mar,21,2009,96,178
Mar,21,2009,96,178
Mar,21,2009,96,178
Mar,21,2009,96,178
Mar,21,2009,96,178
Mar,21,2009,96,178
Mar,21,2009,96,178
Mar,21,2009,96,178
Mar,21,2009,96,178
Mar,21,2009,96,178
Mar,21,2009,96,178
Mar,21,2009,96,178
Mar,21,2009,96,178
Mar,21,2009,96,178
Mar,21,2009,87,196
Mar,22,2009,108,153
Mar,22,2009,6,120
Mar,22,2009,16,120
Mar,22,2009,16,120
Mar,22,2009,17,120
Mar,22,2009,60,120
Mar,22,2009,63,120
Mar,22,2009,54,121
Mar,22,2009,102,148
Mar,22,2009,57,164
Mar,22,2009,57,164
Mar,22,2009,22,168
Mar,22,2009,52,168
Mar,22,2009,52,168
Mar,22,2009,57,168
Mar,22,2009,57,168
Mar,22,2009,22,169
Mar,22,2009,28,117
Mar,23,2009,91,121
Mar,23,2009,6,148
Mar,23,2009,6,148
Mar,23,2009,6,148
Mar,23,2009,6,148
Mar,23,2009,6,148
Mar,23,2009,84,148
Mar,23,2009,91,148
Mar,23,2009,91,148
Mar,23,2009,6,166
Mar,23,2009,17,166
Mar,23,2009,18,166
Mar,23,2009,71,166
Mar,23,2009,71,166
Mar,23,2009,52,168
Mar,23,2009,6,148
Mar,23,2009,6,148
Mar,23,2009,83,148
Mar,23,2009,16,120
Mar,23,2009,90,148
Mar,23,2009,16,166
Mar,23,2009,22,166
Mar,23,2009,52,166
Mar,23,2009,60,166
Mar,23,2009,60,168
Mar,23,2009,16,196
Mar,23,2009,87,196
Mar,23,2009,94,196
Apr,24,2009,6,132
Apr,24,2009,6,132
Apr,24,2009,22,132
Apr,24,2009,32,148
Apr,24,2009,90,155
Apr,24,2009,72,164
Apr,24,2009,57,166
Apr,24,2009,57,168
Apr,24,2009,71,168
Apr,24,2009,84,168
Apr,24,2009,91,205
Apr,24,2009,102,205
Apr,25,2009,91,147
Apr,25,2009,41,138
Apr,25,2009,17,138
Apr,26,2009,91,164
Apr,26,2009,91,164
Apr,26,2009,9,166
Apr,26,2009,13,166
Apr,26,2009,76,166
Apr,26,2009,91,185
Apr,26,2009,101,185
Apr,26,2009,30,118
May,27,2009,49,147
May,27,2009,49,147
May,27,2009,65,147
May,27,2009,109,178
May,27,2009,91,185
May,28,2009,28,117
May,28,2009,16,159
May,28,2009,22,169
May,28,2009,22,169
May,28,2009,90,185
May,28,2009,91,185
May,28,2009,17,159
May,29,2009,16,159
May,29,2009,90,159
May,29,2009,6,165
May,29,2009,91,185
May,29,2009,91,185
May,29,2009,91,185
May,30,2009,106,201
May,30,2009,90,117
May,30,2009,90,139
May,30,2009,70,159
May,30,2009,37,161
May,30,2009,84,168
May,30,2009,91,185
Jun,31,2009,102,129
Jun,31,2009,102,129
Jun,31,2009,102,129
Jun,31,2009,90,185
Jun,31,2009,91,185
Jun,31,2009,91,185
Jun,31,2009,91,185
Jun,31,2009,17,196
Jun,32,2009,97,128
Jun,32,2009,97,128
Jun,32,2009,57,197
Jun,32,2009,6,128
Jun,32,2009,24,138
Jun,32,2009,85,138
Jun,32,2009,96,138
Jun,32,2009,109,138
Jun,32,2009,29,149
Jun,32,2009,109,159
Jun,32,2009,99,161
Jun,32,2009,99,161
Jun,32,2009,99,180
Jun,32,2009,91,185
Jun,32,2009,91,186
Jun,32,2009,16,194
Jun,32,2009,17,194
Jun,33,2009,1,128
Jun,33,2009,27,123
Jun,33,2009,16,136
Jun,33,2009,17,136
Jun,33,2009,22,136
Jun,33,2009,16,138
Jun,33,2009,17,138
Jun,33,2009,22,138
Jun,33,2009,22,138
Jun,33,2009,54,138
Jun,33,2009,71,138
Jun,33,2009,71,138
Jun,33,2009,16,159
Jun,33,2009,36,161
Jun,33,2009,99,161
Jun,33,2009,36,163
Jun,33,2009,21,165
Jun,33,2009,34,173
Jun,33,2009,6,175
Jun,33,2009,6,175
Jun,33,2009,6,175
Jun,33,2009,6,175
Jun,33,2009,6,175
Jun,33,2009,6,175
Jun,33,2009,6,175
Jun,33,2009,44,175
Jun,33,2009,99,180
Jun,33,2009,65,194
Jun,34,2009,16,136
Jun,34,2009,17,136
Jun,34,2009,91,136
Jun,34,2009,91,136
Jun,34,2009,91,136
Jun,34,2009,91,136
Jun,34,2009,91,136
Jun,34,2009,91,136
Jun,34,2009,91,136
Jun,34,2009,16,158
Jun,34,2009,82,159
Jun,34,2009,17,161
Jun,34,2009,17,165
Jun,34,2009,111,165
Jun,34,2009,6,176
Jun,34,2009,21,195
Jul,35,2009,104,117
Jul,35,2009,47,136
Jul,35,2009,91,136
Jul,35,2009,91,136
Jul,35,2009,91,136
Jul,35,2009,91,136
Jul,35,2009,91,136
Jul,35,2009,91,136
Jul,35,2009,17,138
Jul,35,2009,77,161
Jul,35,2009,6,177
Jul,35,2009,6,177
Jul,35,2009,6,177
Jul,35,2009,12,177
Jul,35,2009,91,185
Jul,35,2009,17,194
Jul,35,2009,86,138
Jul,35,2009,86,138
Jul,36,2009,45,138
Jul,36,2009,16,136
Jul,36,2009,16,159
Jul,36,2009,53,161
Jul,36,2009,91,185
Jul,36,2009,17,194
Jul,36,2009,17,195
Jul,37,2009,16,123
Jul,37,2009,91,136
Jul,37,2009,17,138
Jul,37,2009,16,149
Jul,37,2009,16,159
Jul,37,2009,16,159
Jul,37,2009,16,159
Jul,37,2009,17,159
Jul,37,2009,17,159
Jul,37,2009,30,159
Jul,37,2009,16,195
Jul,37,2009,73,195
Jul,38,2009,91,127
Jul,38,2009,91,135
Jul,38,2009,91,135
Jul,38,2009,91,135
Jul,38,2009,91,135
Jul,38,2009,91,135
Jul,38,2009,91,135
Jul,38,2009,102,135
Jul,38,2009,102,135
Jul,38,2009,102,135
Jul,38,2009,102,135
Jul,38,2009,102,135
Jul,38,2009,102,135
Jul,38,2009,102,135
Jul,38,2009,102,135
Jul,38,2009,102,135
Jul,38,2009,102,135
Jul,38,2009,17,136
Jul,38,2009,6,143
Jul,38,2009,6,143
Jul,38,2009,16,143
Jul,38,2009,16,143
Jul,38,2009,16,159
Jul,38,2009,16,159
Jul,38,2009,16,159
Jul,38,2009,16,159
