,Order,Pollinator.name,Genus,Species,Taxa,SystemCode,Degree,SystemReference,Size,SizeType,Mass
358,Hymenoptera,Epanthidium.aureocinctum,Epanthidium,aureocinctum,Epanthidium aureocinctum,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL,
359,Hymenoptera,Epanthidium.aureocinctum,Epanthidium,aureocinctum,Epanthidium aureocinctum,cer,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL,
360,Hymenoptera,Epanthidium.tigrinum,Epanthidium,tigrinum,Epanthidium tigrinum,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL,
361,Hymenoptera,Epanthidium.tigrinum,Epanthidium,tigrinum,Epanthidium tigrinum,cer,4,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL,
362,Hymenoptera,Epeolus.helianthi,Epeolus,helianthi,Epeolus helianthi,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10.25,BL,
363,Ephemeroptera,Ephemerella.sp,Ephemerella,sp,Ephemerella sp,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",10,BL,
364,Hymenoptera,Epicharis.affinis,Epicharis,affinis,Epicharis affinis,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL,
365,Hymenoptera,Epicharis.albofasciata,Epicharis,albofasciata,Epicharis albofasciata,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL,
366,Hymenoptera,Epicharis.analis,Epicharis,analis,Epicharis analis,bbg,3,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL,
367,Hymenoptera,Epicharis.analis,Epicharis,analis,Epicharis analis,cer,6,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL,
368,Hymenoptera,Epicharis.bicolor,Epicharis,bicolor,Epicharis bicolor,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL,
369,Hymenoptera,Epicharis.bicolor,Epicharis,bicolor,Epicharis bicolor,cer,6,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL,
370,Hymenoptera,Epicharis.cockerelli,Epicharis,cockerelli,Epicharis cockerelli,bbg,6,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL,
371,Hymenoptera,Epicharis.cockerelli,Epicharis,cockerelli,Epicharis cockerelli,cer,6,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL,
372,Hymenoptera,Epicharis.flava,Epicharis,flava,Epicharis flava,bbg,6,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL,
373,Hymenoptera,Epicharis.flava,Epicharis,flava,Epicharis flava,cer,3,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL,
374,Hymenoptera,Epicharis.iheringii,Epicharis,iheringii,Epicharis iheringii,bbg,10,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL,
375,Hymenoptera,Epicharis.iheringii,Epicharis,iheringii,Epicharis iheringii,cer,7,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL,
376,Hymenoptera,Epicharis.morio,Epicharis,morio,Epicharis morio,cer,7,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL,
377,Hymenoptera,Epicharis.picta,Epicharis,picta,Epicharis picta,cer,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL,
379,Hymenoptera,Epicharis.sp,Epicharis,sp,Epicharis sp,bbg,12,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL,
380,Hymenoptera,Epicharis.xanthogastra,Epicharis,xanthogastra,Epicharis xanthogastra,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL,
381,Hymenoptera,Epicharis.xanthogastra,Epicharis,xanthogastra,Epicharis xanthogastra,cer,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,20,BL,
382,Diptera,Episyrphus.balteatus,Episyrphus,balteatus,Episyrphus balteatus,snk,5,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",3,HW,
383,Lepidoptera,Erebia.epipsodea,Erebia,epipsodea,Erebia epipsodea,ppc,4,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",46.5,WS,
384,Diptera,Eremomyioides.setosa,Eremomyioides,setosa,Eremomyioides setosa,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",8,BL,
385,Diptera,Eriothrix.rufomaculatus,Eriothrix,rufomaculatus,Eriothrix rufomaculatus,hnk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",7.5,BL,
386,Diptera,Eriothrix.rufomaculatus,Eriothrix,rufomaculatus,Eriothrix rufomaculatus,snk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",7.5,BL,
387,Diptera,Eristalinus.sepulchralis,Eristalinus,sepulchralis,Eristalinus sepulchralis,hnk,4,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",16,BL,
388,Diptera,Eristalis.arbustorum,Eristalis,arbustorum,Eristalis arbustorum,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10.5,BL,
389,Diptera,Eristalis.dimidiata,Eristalis,dimidiata,Eristalis dimidiata,otw,4,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",13.5,BL,
390,Diptera,Eristalis.dimidiatus,Eristalis,dimidiatus,Eristalis dimidiatus,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",12,BL,
391,Diptera,Eristalis.dimidiatus,Eristalis,dimidiatus,Eristalis dimidiatus,bfi,2,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",12,BL,
392,Diptera,Eristalis.flavipes,Eristalis,flavipes,Eristalis flavipes,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10,BL,
393,Diptera,Eristalis.hirta,Eristalis,hirta,Eristalis hirta,ppc,3,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10,BL,
394,Diptera,Eristalis.intricarius,Eristalis,intricarius,Eristalis intricarius,hnk,4,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",12,BL,
395,Diptera,Eristalis.intricarius,Eristalis,intricarius,Eristalis intricarius,snk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",12,BL,
396,Diptera,Eristalis.latifrons,Eristalis,latifrons,Eristalis latifrons,ppc,3,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",12,BL,
397,Diptera,Eristalis.meigeni,Eristalis,meigeni,Eristalis meigeni,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",12,BL,
398,Diptera,Eristalis.nemorum,Eristalis,nemorum,Eristalis nemorum,hnk,2,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",12,BL,
399,Diptera,Eristalis.nemorum,Eristalis,nemorum,Eristalis nemorum,snk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",12,BL,
400,Diptera,Eristalis.pertinax,Eristalis,pertinax,Eristalis pertinax,hnk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",15,BL,
401,Diptera,Eristalis.tenax,Eristalis,tenax,Eristalis tenax,hnk,2,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",15,BL,
402,Diptera,Eristalis.tenax,Eristalis,tenax,Eristalis tenax,snk,3,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",15,BL,
403,Diptera,Eristalis.tenax,Eristalis,tenax,Eristalis tenax,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",15,BL,
