,Pollinator.name,Genus,Species,SystemCode,Degree,SystemReference,Size,SizeType
845,Thymelicus.sp,Thymelicus,sp,hnk,3,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",28,WS
846,Thyreocoris.anthracina,Thyreocoris,anthracina,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",3.5,BL
847,Thysanoptera.sp,Thysanoptera,sp,tun,2,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",1.5,BL
848,Titusella.pronitens,Titusella,pronitens,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",7.25,BL
849,Toxomerus.floralis,Toxomerus,floralis,gsv,6,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",7,BL
850,Toxomerus.geminatus,Toxomerus,geminatus,nca,3,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",6.75,BL
851,Toxomerus.marginatus,Toxomerus,marginatus,bfi,1,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",8,BL
852,Toxomerus.marginatus,Toxomerus,marginatus,otw,1,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",8,BL
853,Toxomerus.marginatus,Toxomerus,marginatus,gsv,3,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",8,BL
854,Trachysida.aspera,Trachysida,aspera,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",14,BL
