Pollinator.name,Taxa,Genus,Species,PlantName,Interactions,SystemCode,Season,Day,Month,Year,SystemLocation,Reference
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Geranium richardsoni,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Pentstemon glaucus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Delphinium scopulorum,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Jamesia americana,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Aconitum columbianum,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Dodocatheon meadia,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Mentzelia multiflora,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.bifarius,Bombus bifarius,Bombus,bifarius,Elephantella groenlandica,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Anthophora.bomboides,Anthophora bomboides,Anthophora,bomboides,Pentstemon glaber,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Andrena.braccata,Andrena braccata,Andrena,braccata,Geranium caespitosum,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Irbisia.brachycerus,Irbisia brachycerus,Irbisia,brachycerus,Geranium caespitosum,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Irbisia.brachycerus,Irbisia brachycerus,Irbisia,brachycerus,Jamesia americana,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Irbisia.brachycerus,Irbisia brachycerus,Irbisia,brachycerus,Drymocallis fissa,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Irbisia.brachycerus,Irbisia brachycerus,Irbisia,brachycerus,Caltha leptosepala,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Irbisia.brachycerus,Irbisia brachycerus,Irbisia,brachycerus,Malvastrum coccineum,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Osmia.brevis,Osmia brevis,Osmia,brevis,Mertensia pratensis,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Osmia.bruneri,Osmia bruneri,Osmia,bruneri,Geranium caespitosum,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Osmia.bruneri,Osmia bruneri,Osmia,bruneri,Rosa acicularis,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Osmia.bruneri,Osmia bruneri,Osmia,bruneri,Pentstemon glaber,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Osmia.bruneri,Osmia bruneri,Osmia,bruneri,Pentstemon gracilis,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Osmia.bruneri,Osmia bruneri,Osmia,bruneri,Opulaster opulifolius,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Osmia.bruneri,Osmia bruneri,Osmia,bruneri,Penstemon secundiflorus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Osmia.bruneri,Osmia bruneri,Osmia,bruneri,Elephantella groenlandica,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Geocoris.bullatus,Geocoris bullatus,Geocoris,bullatus,Potentilla pulcherrima,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Xeromelecta.californica,Xeromelecta californica,Xeromelecta,californica,Asclepias halli,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Exoprosopa.caliptera,Exoprosopa caliptera,Exoprosopa,caliptera,Rubus deliciosus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Phormia.camillus,Phormia camillus,Phormia,camillus,Rubus deliciosus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Phormia.camillus,Phormia camillus,Phormia,camillus,Sedum stenopetalum,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Andrena.canadensis,Andrena canadensis,Andrena,canadensis,Rubus deliciosus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
