Pollinator.name,Genus,Species,SystemCode,Degree,SystemReference
Exomalopsis.analis,Exomalopsis,analis,bbg,11,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Exomalopsis.auropilosa,Exomalopsis,auropilosa,bbg,5,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Exomalopsis.campestris,Exomalopsis,campestris,bbg,7,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Exomalopsis.fulvofasciata,Exomalopsis,fulvofasciata,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Exomalopsis.sp,Exomalopsis,sp,bbg,9,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Gaesischia.araguaiana,Gaesischia,araguaiana,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Gaesischia.belophora,Gaesischia,belophora,bbg,7,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Gaesischia.flavoclypeata,Gaesischia,flavoclypeata,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Gaesischia.fulgurans,Gaesischia,fulgurans,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Habralictus.sp,Habralictus,sp,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Hopliphora.superba,Hopliphora,superba,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Lasioglossum.rostratus,Lasioglossum,rostratus,bbg,3,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Lasioglossum.sp,Lasioglossum,sp,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Lithurgus.sp,Lithurgus,sp,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Megachile.affabilis,Megachile,affabilis,bbg,3,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Megachile.assumptionis,Megachile,assumptionis,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Megachile.aureiventris,Megachile,aureiventris,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Megachile.brethesi,Megachile,brethesi,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Megachile.curvipes,Megachile,curvipes,bbg,4,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Megachile.diversa,Megachile,diversa,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Megachile.friesei,Megachile,friesei,bbg,4,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Megachile.gigas,Megachile,gigas,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Megachile.laeta,Megachile,laeta,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Megachile.orba,Megachile,orba,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Megachile.rubricata,Megachile,rubricata,bbg,5,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Megachile.sp,Megachile,sp,bbg,5,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Megachile.terrestris,Megachile,terrestris,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Melipona.quinquefasciata,Melipona,quinquefasciata,bbg,15,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Melissoptila.richardiae,Melissoptila,richardiae,bbg,6,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Melitoma.segmentaria,Melitoma,segmentaria,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Melitoma.sp,Melitoma,sp,bbg,4,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Mesonychium.coerulescens,Mesonychium,coerulescens,bbg,3,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Mesoplia.decorata,Mesoplia,decorata,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Mesoplia.rufipes,Mesoplia,rufipes,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Monoeca.sp,Monoeca,sp,bbg,6,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Neocorynura.sp,Neocorynura,sp,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Oxaea.flavescens,Oxaea,flavescens,bbg,14,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Paratetrapedia.lugubris,Paratetrapedia,lugubris,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Paratetrapedia.sp,Paratetrapedia,sp,bbg,15,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Paratrigona.lineata,Paratrigona,lineata,bbg,33,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Partamona.cupira,Partamona,cupira,bbg,7,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Plebeia.sp,Plebeia,sp,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Pseudaugochlora.graminea,Pseudaugochlora,graminea,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Pseudaugochlora.sp,Pseudaugochlora,sp,bbg,7,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Ptilothrix.plumata,Ptilothrix,plumata,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Rhathymus.fulvus,Rhathymus,fulvus,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Scaptotrigona.postica,Scaptotrigona,postica,bbg,13,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Temnostoma.sp,Temnostoma,sp,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Tetragona.clavipes,Tetragona,clavipes,bbg,30,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Tetrapedia.rugulosa,Tetrapedia,rugulosa,bbg,4,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Tetrapedia.sp,Tetrapedia,sp,bbg,4,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Thalestria.spinosa,Thalestria,spinosa,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Thectochlora.alaris,Thectochlora,alaris,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Thygater.analis,Thygater,analis,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trichocerapis.mirabilis,Trichocerapis,mirabilis,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.amalthea,Trigona,amalthea,bbg,6,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.branneri,Trigona,branneri,bbg,11,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.sp,Trigona,sp,bbg,49,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigona.spinipes,Trigona,spinipes,bbg,4,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Trigonisca.pediculana,Trigonisca,pediculana,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Xylocopa.ciliata,Xylocopa,ciliata,bbg,4,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Xylocopa.fimbriata,Xylocopa,fimbriata,bbg,4,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Xylocopa.frontalis,Xylocopa,frontalis,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Xylocopa.hirsutissima,Xylocopa,hirsutissima,bbg,7,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Xylocopa.sp,Xylocopa,sp,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Xylocopa.subcyanea,Xylocopa,subcyanea,bbg,8,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Xylocopa.vestita,Xylocopa,vestita,bbg,9,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Andrena.carlini,Andrena,carlini,bfi,4,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366."
Andrena.cressonii,Andrena,cressonii,bfi,2,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366."
Andrena.erigeniae,Andrena,erigeniae,bfi,4,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366."
Andrena.erythronii,Andrena,erythronii,bfi,1,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366."
