,Pollinator.name,Genus,Species,Size,SizeType
5714,Pachysvastra.sp,Pachysvastra,sp,10.25,BL
5715,Palaeorhiza.sp,Palaeorhiza,sp,9,BL
5716,Palpada.sp,Palpada,sp,11.3,BL
5718,Panurginus.sp,Panurginus,sp,7,BL
5721,Panurgus.sp,Panurgus,sp,9.5,BL
5722,Panzeria.sp,Panzeria,sp,9.75,BL
5724,Paracolletes.sp,Paracolletes,sp,13.5,BL
5725,Paradioxys.sp,Paradioxys,sp,8.25,BL
5726,Paragapostemon.sp,Paragapostemon,sp,11,BL
5728,Parahophites.sp,Parahophites,sp,6,BL
5729,Parammobatodes.sp,Parammobatodes,sp,5.25,BL
5731,Parancistrocerus.sp,Parancistrocerus,sp,11,BL
5732,Paranomada.sp,Paranomada,sp,8,BL
5733,Paranthidium.sp,Paranthidium,sp,9.25,BL
5734,Parapsaenythia.sp,Parapsaenythia,sp,8.5,BL
5743,Paratetrapedia.sp,Paratetrapedia,sp,9,BL
5744,Parathrincostoma.sp,Parathrincostoma,sp,12.5,BL
5745,Paratrigona.sp,Paratrigona,sp,4.5,BL
5747,Parepeolus.sp,Parepeolus,sp,9.5,BL
5748,Parhelophilus.sp,Parhelophilus,sp,10,BL
5749,Pariotrigona.sp,Pariotrigona,sp,2.75,BL
5752,Paroxystoglossa.sp,Paroxystoglossa,sp,9.5,BL
5754,Partamona.sp,Partamona,sp,5.75,BL
5755,Pasites.sp,Pasites,sp,7.4,BL
5756,Passaloecus.sp,Passaloecus,sp,9.5,BL
5757,Patellapis.sp,Patellapis,sp,8,BL
5758,Pegohylemyia.sp,Pegohylemyia,sp,7,BL
5761,Penapsis.sp,Penapsis,sp,8.5,BL
5764,Peponapis.sp,Peponapis,sp,13.5,BL
5765,Pepsis.sp,Pepsis,sp,40,BL
5767,Perdita.sp,Perdita,sp,5.5,BL
5768,Pereirapis.sp,Pereirapis,sp,5,BL
5772,Phaonia.sp,Phaonia,sp,10,BL
5773,Pharohylaeus.sp,Pharohylaeus,sp,10,BL
5774,Phenacolletes.sp,Phenacolletes,sp,14,BL
5775,Phorbia.sp,Phorbia,sp,7,BL
5777,Phormia.sp,Phormia,sp,10,BL
5784,Pipiza.sp,Pipiza,sp,7,BL
5800,Platycheirus.sp,Platycheirus,sp,7,BL
5803,Platysvastra.sp,Platysvastra,sp,13.5,BL
5805,Plebeia.sp,Plebeia,sp,5.25,BL
5806,Plebeina.sp,Plebeina,sp,4.5,BL
5807,Plesianthidium.sp,Plesianthidium,sp,11.5,BL
5808,Plesiopanurgus.sp,Plesiopanurgus,sp,9,BL
5810,Polistes.sp,Polistes,sp,19,BL
5816,Pompiloides.sp,Pompiloides,sp,20,BL
5818,Prodioxys.sp,Prodioxys,sp,10,BL
5819,Promelitta.sp,Promelitta,sp,9,BL
5824,Prosopis.sp,Prosopis,sp,5.13,BL
5826,Protandrena.sp,Protandrena,sp,8,BL
5827,Protodufourea.sp,Protodufourea,sp,6.25,BL
5828,Protosiris.sp,Protosiris,sp,13.25,BL
5829,Protosmia.sp,Protosmia,sp,6.5,BL
5830,Psaenythia.sp,Psaenythia,sp,10.5,BL
5831,Pseudagapostemon.sp,Pseudagapostemon,sp,8,BL
5833,Pseudapsis.sp,Pseudapsis,sp,8.5,BL
5835,Pseudaugochlora.sp,Pseudaugochlora,sp,10.5,BL
5837,Pseudoanthidium.sp,Pseudoanthidium,sp,8.5,BL
5838,Pseudoheriades.sp,Pseudoheriades,sp,6.25,BL
5841,Pseudopanurgus.sp,Pseudopanurgus,sp,8.5,BL
5842,Pseudophilanthus.sp,Pseudophilanthus,sp,14,BL
5845,Psithyrus.sp,Psithyrus,sp,19.8,BL
5846,Ptilocleptis.sp,Ptilocleptis,sp,8,BL
5848,Ptiloglossa.sp,Ptiloglossa,sp,17.5,BL
5849,Ptiloglossidia.sp,Ptiloglossidia,sp,11.325,BL
5850,Ptilonomia.sp,Ptilonomia,sp,12,BL
5851,Ptilothrix.sp,Ptilothrix,sp,11,BL
5857,Radoszkowskiana.sp,Radoszkowskiana,sp,11.5,BL
5858,Rediviva.sp,Rediviva,sp,13.5,BL
5859,Redivivoides.sp,Redivivoides,sp,12.5,BL
5860,Reepenia.sp,Reepenia,sp,10.5,BL
5864,Rhathymus.sp,Rhathymus,sp,22,BL
5865,Rhectomia.sp,Rhectomia,sp,6,BL
5866,Rhinepeolus.sp,Rhinepeolus,sp,8.75,BL
5867,Rhinetula.sp,Rhinetula,sp,10.25,BL
5868,Rhinocorynura.sp,Rhinocorynura,sp,9.5,BL
5869,Rhodanthidium.sp,Rhodanthidium,sp,15.25,BL
5870,Rhogepeolus.sp,Rhogepeolus,sp,8.25,BL
5871,Rhopalolemma.sp,Rhopalolemma,sp,6.4,BL
5872,Rhopalum.sp,Rhopalum,sp,6.1,BL
5873,Rhophitulus.sp,Rhophitulus,sp,5.5,BL
5874,Rophites.sp,Rophites,sp,8,BL
5875,Ruizantheda.sp,Ruizantheda,sp,9,BL
5876,Samba.sp,Samba,sp,9.5,BL
5877,Santiago.sp,Santiago,sp,12.25,BL
5879,Sarcophaga.sp,Sarcophaga,sp,10,BL
5885,Scaptotrigona.sp,Scaptotrigona,sp,6,BL
5887,Schmiedeknechtia.sp,Schmiedeknechtia,sp,4.5,BL
5889,Scrapter.sp,Scrapter,sp,10,BL
5891,Serapista.sp,Serapista,sp,12,BL
5892,Sericogaster.sp,Sericogaster,sp,9,BL
5894,Sericomyia.sp,Sericomyia,sp,16.7,BL
5895,Simanthedon.sp,Simanthedon,sp,13.5,BL
5896,Sinomelecta.sp,Sinomelecta,sp,11.25,BL
5897,Smittia.sp,Smittia,sp,3,BL
5898,Spatunomia.sp,Spatunomia,sp,14,BL
5899,Spechodopsis.sp,Spechodopsis,sp,6.5,BL
5904,Sphaerophoria.sp,Sphaerophoria,sp,8.35,BL
5905,Sphaerophoria.sp,Sphaerophoria,sp,22,BL
5928,Sphecodes.sp,Sphecodes,sp,9.75,BL
5929,Sphecodosoma.sp,Sphecodosoma,sp,4.5,BL
5931,Sphegocephala.sp,Sphegocephala,sp,9.25,BL
5932,Sphex.sp,Sphex,sp,28.5,BL
5935,Spinoliella.sp,Spinoliella,sp,6.5,BL
5936,Spinopasites.sp,Spinopasites,sp,3.75,BL
5937,Steganomus.sp,Steganomus,sp,7.5,BL
5941,Stelis.sp,Stelis,sp,9,BL
5942,Stenocolletes.sp,Stenocolletes,sp,7,BL
5943,Stenoheriades.sp,Stenoheriades,sp,6,BL
5944,Stenohesma.sp,Stenohesma,sp,8.75,BL
5945,Stenomacrus.sp,Stenomacrus,sp,3,BL
5946,Stenosmia.sp,Stenosmia,sp,5.25,BL
5947,Stenotritus.sp,Stenotritus,sp,13.5,BL
5950,Svastra.sp,Svastra,sp,14.25,BL
5951,Svastrides.sp,Svastrides,sp,12.5,BL
5952,Svastrina.sp,Svastrina,sp,11.5,BL
5955,Syngrapha.sp,Syngrapha,sp,35,WS
5956,Syntrichalonia.sp,Syntrichalonia,sp,15.5,BL
5958,Syritta.sp,Syritta,sp,8,BL
5962,Syrphus.sp,Syrphus,sp,10,BL
5967,Systropha.sp,Systropha,sp,10,BL
5969,Tabanus.sp,Tabanus,sp,7.5,BL
5971,Tapinotaspis.sp,Tapinotaspis,sp,8.75,BL
5972,Tapinotaspoides.sp,Tapinotaspoides,sp,9.5,BL
5973,Tarsalia.sp,Tarsalia,sp,10,BL
5977,Temnostoma.sp,Temnostoma,sp,16.7,BL
5978,Tenthredella.sp,Tenthredella,sp,11.25,BL
5979,Teratognatha.sp,Teratognatha,sp,4,BL
